-0.966000, 2.035000, -3.015000, 3.964000, 4.972000, -6.047000
-1.031000, 2.028000, -3.012000, 3.975000, 4.961000, -6.042000
-0.957000, 2.001000, -3.020000, 3.987000, 5.028000, -5.964000
-0.985000, 1.974000, -2.966000, 4.004000, 4.970000, -5.962000
-1.012000, 2.000000, -3.032000, 4.040000, 5.034000, -5.996000
-0.984000, 1.958000, -3.001000, 3.992000, 4.982000, -5.956000
-1.029000, 2.048000, -3.009000, 4.039000, 5.026000, -6.023000
-1.000000, 2.016000, -2.991000, 4.024000, 4.977000, -5.980000
-1.020000, 2.024000, -3.049000, 4.041000, 4.997000, -5.978000
-0.978000, 2.007000, -2.954000, 4.016000, 5.020000, -5.979000
-1.030000, 1.997000, -3.029000, 4.001000, 4.998000, -6.022000
-1.005000, 1.968000, -2.983000, 4.038000, 4.963000, -5.983000
-1.016000, 1.971000, -2.996000, 3.959000, 5.032000, -6.049000
-1.010000, 2.046000, -2.954000, 4.019000, 5.012000, -6.042000
-1.018000, 2.040000, -3.049000, 3.967000, 5.046000, -5.986000
-1.015000, 2.006000, -2.999000, 4.021000, 4.969000, -5.952000
-1.041000, 1.995000, -3.000000, 4.027000, 5.020000, -6.047000
-0.986000, 1.961000, -2.974000, 4.042000, 4.992000, -6.006000
-1.003000, 2.017000, -3.046000, 4.040000, 4.997000, -6.034000
-1.001000, 1.985000, -3.034000, 4.016000, 5.029000, -6.014000
-0.974000, 2.024000, -3.009000, 3.967000, 5.020000, -6.011000
-1.014000, 1.977000, -2.989000, 3.973000, 4.972000, -5.980000
-0.978000, 1.973000, -3.023000, 4.042000, 4.985000, -5.980000
-1.001000, 2.032000, -3.018000, 3.972000, 5.046000, -5.955000
-1.027000, 1.984000, -2.979000, 4.010000, 5.008000, -5.954000
-1.011000, 2.006000, -3.016000, 4.041000, 5.030000, -6.049000
-1.023000, 1.969000, -3.015000, 4.029000, 5.024000, -6.028000
-1.031000, 2.032000, -2.957000, 3.968000, 4.957000, -6.006000
-1.038000, 2.027000, -3.031000, 3.990000, 4.997000, -6.027000
-0.956000, 2.036000, -3.029000, 4.049000, 4.973000, -6.046000
